Ped,#sequences,#sequences_day,sequences_nigth,#bboxes,#bboxes_day,#bboxes_nigth,#cams,#cams_day,#cams_night
3621428889,4,2,2,273,156,117,4,3,3
3630066984,2,1,1,110,58,52,1,1,1
3640249671,1,1,0,42,42,0,1,1,0
3654768780,3,2,1,131,95,36,3,3,1
365775923,3,2,1,45,11,34,2,2,1
3658575486,3,2,1,125,30,95,3,2,2
3666413874,3,2,1,62,52,10,3,3,2
3669401835,3,2,1,25,11,14,2,2,1
3675473203,3,2,1,276,193,83,3,3,2
3680420864,2,2,0,215,215,0,2,2,0
3681718840,4,2,2,248,101,147,4,2,2
3684436375,4,2,2,311,160,151,4,4,3
368603149,1,0,1,17,0,17,1,0,1
3697041061,2,2,0,79,79,0,2,2,0
3716251309,1,1,0,55,55,0,1,1,0
3721046572,1,1,0,9,9,0,1,1,0
3724572669,1,1,0,15,15,0,1,1,0
3725461865,4,2,2,94,47,47,3,2,2
3726105915,4,2,2,139,48,91,3,2,2
3728026165,3,2,1,132,67,65,3,2,1
373000027,3,2,1,55,48,7,2,2,1
3740245870,1,1,0,1,1,0,1,1,0
3756278757,1,1,0,12,12,0,1,1,0
3767780806,3,2,1,46,29,17,2,2,1
3773208948,3,2,1,28,9,19,3,2,1
3774489940,3,2,1,44,33,11,3,3,1
3776618420,3,2,1,41,33,8,2,2,1
377976310,3,2,1,47,43,4,2,2,1
3782053633,2,1,1,95,60,35,2,1,1
379310561,3,2,1,136,68,68,2,2,1
3812756443,2,2,0,11,11,0,2,2,0
3835149295,1,1,0,2,2,0,1,1,0
3845001836,2,2,0,79,79,0,2,2,0
3852538118,4,2,2,297,220,77,4,3,3
3865252245,2,2,0,186,186,0,3,3,0
3870061732,3,1,2,143,24,119,2,1,2
3872144604,1,1,0,10,10,0,1,1,0
3877027275,2,1,1,79,44,35,2,2,1
3881519900,3,2,1,67,46,21,2,2,1
3882958867,4,2,2,191,82,109,3,2,2
3885222120,2,2,0,69,69,0,2,2,0
3886638041,2,2,0,39,39,0,2,2,0
3896218551,1,1,0,7,7,0,1,1,0
3898166818,1,1,0,85,85,0,2,2,0
390939205,2,2,0,53,53,0,3,3,0
3938633710,2,1,1,29,5,24,2,1,1
3972697109,3,2,1,315,248,67,3,3,2
3973074921,1,1,0,4,4,0,1,1,0
3977045190,3,2,1,100,69,31,3,3,1
3986688045,1,0,1,24,0,24,1,0,1
3988550982,2,1,1,163,83,80,1,1,1
3990661997,1,1,0,74,74,0,1,1,0
4000686095,4,2,2,403,228,175,4,3,3
4011150407,4,2,2,164,55,109,2,2,2
4017173934,2,1,1,89,39,50,2,1,1
4024807398,2,1,1,57,31,26,2,2,2
4028996995,3,2,1,146,129,17,3,2,1
4030826507,2,1,1,149,73,76,2,1,1
4033578141,2,1,1,191,141,50,2,2,2
4037813798,4,2,2,266,161,105,4,3,2
4040474158,3,2,1,58,53,5,2,2,1
4042020578,2,2,0,29,29,0,2,2,0
4049719826,1,1,0,158,158,0,2,2,0
4058522530,2,1,1,20,8,12,2,1,1
4074414829,3,2,1,87,71,16,3,3,1
4079145784,2,2,0,103,103,0,3,3,0
4095687067,2,2,0,52,52,0,2,2,0
4096714883,4,2,2,283,166,117,4,3,2
411102470,2,2,0,147,147,0,2,2,0
411185872,1,1,0,56,56,0,2,2,0
4116817094,2,1,1,35,23,12,2,1,1
4119890438,1,1,0,139,139,0,2,2,0
4121954205,4,2,2,199,74,125,4,3,3
4128603535,2,2,0,98,98,0,2,2,0
4131252449,3,2,1,71,68,3,2,2,1
4144940484,2,2,0,80,80,0,3,3,0
416176080,3,1,2,44,7,37,2,1,2
4188468543,2,2,0,16,16,0,2,2,0
4198014287,2,1,1,62,15,47,2,1,1
4203395201,4,2,2,223,109,114,2,2,2
4206136267,2,2,0,28,28,0,2,2,0
4209271110,4,2,2,188,75,113,3,2,2
4242313482,2,0,2,152,0,152,2,0,2
4246489531,3,2,1,167,123,44,2,2,1
4248931856,3,2,1,156,131,25,4,4,1
4250220510,3,2,1,52,28,24,3,2,1
4255728232,1,1,0,17,17,0,1,1,0
4257633223,3,2,1,156,72,84,3,2,2
42647445,3,1,2,233,139,94,3,2,3
4274948997,4,2,2,178,104,74,3,2,2
4282288299,4,2,2,216,115,101,3,2,2
4285659174,2,0,2,83,0,83,2,0,2
4293277303,3,1,2,39,5,34,3,1,2
429425116,3,2,1,23,5,18,3,2,1
435429221,3,2,1,197,159,38,3,3,1
436345731,3,2,1,225,164,61,3,3,1
451459928,2,1,1,43,39,4,2,1,1
452351020,4,2,2,156,60,96,3,2,2
466359675,0,0,0,0,0,0,0,0,0
469792763,1,1,0,12,12,0,1,1,0
479578891,2,1,1,119,70,49,2,2,2
503621995,2,2,0,74,74,0,2,2,0
516505552,1,1,0,6,6,0,1,1,0
51789996,2,2,0,55,55,0,2,2,0
532905404,2,1,1,215,137,78,2,2,1
534725268,4,2,2,198,74,124,2,2,2
539004493,3,2,1,95,65,30,3,2,1
549978415,2,2,0,91,91,0,2,2,0
587253782,2,1,1,177,113,64,2,2,1
587703123,4,2,2,70,19,51,3,2,2
588969535,3,2,1,123,106,17,2,2,1
599294057,2,1,1,35,33,2,2,1,1
600300561,3,1,2,194,42,152,4,1,3
602513566,3,2,1,286,189,97,5,3,2
605602864,3,2,1,90,48,42,2,2,1
610290475,2,1,1,74,23,51,2,1,1
611648169,2,2,0,82,82,0,2,2,0
623927022,3,2,1,128,76,52,3,3,1
62440720,3,2,1,71,58,13,2,2,1
648372919,4,2,2,241,132,109,2,2,2
653210662,2,2,0,105,105,0,2,2,0
